total_orders,total_spent,avg_order_value,avg_review_score,avg_delivery_days,late_delivery_rate,churn
1,141.9,141.9,5.0,6.0,0.0,1
1,27.19,27.19,4.0,3.0,0.0,1
1,86.22,86.22,3.0,25.0,0.0,1
1,43.62,43.62,4.0,20.0,0.0,1
1,196.89,196.89,5.0,13.0,0.0,1
1,166.98,166.98,4.0,1.0,0.0,1
1,35.38,35.38,4.0,6.0,0.0,1
1,419.18,419.18,1.0,16.0,0.0,1
1,150.12,150.12,4.0,4.0,0.0,1
1,129.76,129.76,1.0,53.0,1.0,1
1,29.0,29.0,3.0,16.0,0.0,1
1,126.26,126.26,5.0,10.0,0.0,1
1,63.66,63.66,5.0,15.0,0.0,1
1,82.05,82.05,4.0,7.0,0.0,1
1,91.28,91.28,4.0,11.0,0.0,1
1,46.85,46.85,4.5,13.0,0.0,1
1,29.0,29.0,5.0,14.0,0.0,1
1,36.68,36.68,5.0,3.0,0.0,1
1,257.44,257.44,2.0,4.0,0.0,1
1,78.42,39.21,3.0,14.0,0.0,0
1,27.75,27.75,5.0,6.0,0.0,0
1,20.75,20.75,5.0,2.0,0.0,1
1,362.38,362.38,5.0,8.0,0.0,0
1,325.93,325.93,1.0,14.0,0.0,1
1,61.8,61.8,4.0,22.0,1.0,1
1,212.16,212.16,4.0,8.0,0.0,1
1,76.11,76.11,4.0,10.0,0.0,1
1,297.14,297.14,3.0,18.0,0.0,1
1,192.83,192.83,5.0,8.0,0.0,1
1,117.94,117.94,5.0,11.0,0.0,1
1,155.65,155.65,1.0,7.0,0.0,1
1,99.82,99.82,5.0,8.0,0.0,1
1,74.82,74.82,5.0,3.0,0.0,0
1,122.07,122.07,4.0,10.0,0.0,0
1,58.86,58.86,3.0,15.0,0.0,1
1,91.21,91.21,4.0,8.0,0.0,1
1,164.81,164.81,2.0,6.0,0.0,0
1,37.58,37.58,5.0,16.0,0.0,0
1,27.0,27.0,3.0,28.0,1.0,1
1,87.71,87.71,1.0,5.0,0.0,1
1,197.27,197.27,5.0,17.0,0.0,1
1,36.73,36.73,4.0,3.0,0.0,1
1,161.71,161.71,5.0,1.0,0.0,0
1,24.23,24.23,5.0,17.0,0.0,1
1,135.08,135.08,5.0,31.0,0.0,1
1,63.33,63.33,4.0,11.0,0.0,0
1,35.84,35.84,3.0,10.0,0.0,1
1,237.81,237.81,4.0,23.0,0.0,1
1,124.32,124.32,5.0,1.0,0.0,0
1,107.44,107.44,3.0,21.0,0.0,1
1,92.18,92.18,5.0,7.0,0.0,0
1,57.73,57.73,3.0,9.0,0.0,0
1,214.08,214.08,1.0,3.0,0.0,0
1,46.78,46.78,5.0,3.0,0.0,1
1,354.87,177.435,3.0,23.0,0.0,1
1,118.2,118.2,5.0,9.0,0.0,1
1,257.87,257.87,3.0,12.0,0.0,1
1,217.74,217.74,1.0,58.0,1.0,1
1,218.66,218.66,3.0,11.0,0.0,1
1,64.42,64.42,2.0,8.0,0.0,1
1,38.09,38.09,5.0,8.0,0.0,1
1,228.67,228.67,1.0,30.0,1.0,1
1,28.76,28.76,4.0,6.0,0.0,1
1,130.56,130.56,5.0,9.0,0.0,1
1,52.38,52.38,5.0,1.0,0.0,1
1,137.99,137.99,5.0,12.0,0.0,1
1,109.79,109.79,5.0,2.0,0.0,1
1,114.04,114.04,4.0,8.0,0.0,1
1,77.57,77.57,1.0,33.0,1.0,1
1,62.47,62.47,5.0,6.0,0.0,1
1,536.6,536.6,5.0,9.0,0.0,0
1,109.78,54.89,5.0,12.0,0.0,1
1,144.94,144.94,4.0,26.0,0.0,1
1,62.45,62.45,5.0,6.0,0.0,0
1,425.04,425.04,5.0,10.0,0.0,0
1,226.23,226.23,3.0,14.0,0.0,0
1,44.23,44.23,5.0,8.0,0.0,1
1,546.12,546.12,5.0,5.0,0.0,1
1,21.77,21.77,4.0,2.0,0.0,1
1,42.62,42.62,5.0,14.0,0.0,1
1,162.77,162.77,4.0,6.0,0.0,1
1,109.5,109.5,5.0,19.0,0.0,1
1,237.0,237.0,4.0,16.0,0.0,1
1,65.78,65.78,2.0,45.0,1.0,1
1,443.73,443.73,3.0,31.0,0.0,1
1,143.73,143.73,5.0,8.0,0.0,1
1,228.79,228.79,5.0,13.0,0.0,1
1,107.81,107.81,5.0,4.0,0.0,1
1,119.32,119.32,3.0,7.0,0.0,0
1,181.82,181.82,5.0,13.0,0.0,0
1,157.46,157.46,5.0,9.0,0.0,0
1,36.98,36.98,5.0,7.0,0.0,1
1,216.32,216.32,3.0,12.0,0.0,0
1,147.38,147.38,3.0,10.0,0.0,0
1,142.51,142.51,5.0,3.0,0.0,1
1,178.59,178.59,5.0,21.0,0.0,1
1,542.66,542.66,4.0,5.0,0.0,1
1,137.26,137.26,5.0,3.0,0.0,1
1,63.74,63.74,4.0,1.0,0.0,1
1,162.79,162.79,5.0,16.0,0.0,1
1,77.59,77.59,5.0,5.0,0.0,0
1,103.47,103.47,3.0,30.0,1.0,1
1,433.98,433.98,1.0,18.0,0.0,1
1,259.15,259.15,5.0,12.0,0.0,1
2,354.37,177.185,5.0,6.5,0.0,1
1,85.04,85.04,4.0,13.0,0.0,1
1,62.91,62.91,5.0,7.0,0.0,0
1,64.42,64.42,5.0,8.0,0.0,1
1,52.38,52.38,4.0,10.0,0.0,1
1,128.95,128.95,5.0,6.0,0.0,1
1,83.32,83.32,3.0,6.0,0.0,0
1,24.13,24.13,5.0,7.0,0.0,0
1,112.33,112.33,5.0,99.0,1.0,1
1,76.18,76.18,4.0,9.0,0.0,1
1,82.65,82.65,4.0,4.0,0.0,0
1,41.04,41.04,5.0,6.0,0.0,0
1,32.77,32.77,5.0,7.0,0.0,1
1,26.01,26.01,3.0,21.0,0.0,1
1,109.04,109.04,2.0,13.0,0.0,1
1,44.18,44.18,5.0,7.0,0.0,0
1,84.01,84.01,5.0,11.0,0.0,1
1,49.85,49.85,5.0,23.0,0.0,1
1,158.74,158.74,5.0,6.0,0.0,0
1,39.78,39.78,5.0,2.0,0.0,1
1,993.55,993.55,3.0,10.0,0.0,0
1,109.29,109.29,3.0,4.0,0.0,1
1,189.08,189.08,4.0,14.0,0.0,1
1,198.7,198.7,3.0,5.0,0.0,0
1,68.22,68.22,5.0,13.0,0.0,1
1,127.98,127.98,5.0,9.0,0.0,1
1,1600.51,1600.51,5.0,5.0,0.0,1
1,58.25,58.25,4.0,3.0,0.0,1
1,73.96,73.96,5.0,11.0,0.0,1
1,364.75,364.75,5.0,12.0,0.0,1
1,83.23,83.23,5.0,19.0,0.0,1
1,171.88,171.88,5.0,8.0,0.0,0
1,109.23,109.23,5.0,9.0,0.0,1
1,258.38,258.38,5.0,11.0,0.0,0
1,32.38,32.38,4.0,16.0,0.0,1
1,82.86,82.86,4.0,1.0,0.0,0
1,78.88,78.88,4.0,5.0,0.0,1
1,96.02,48.010000000000005,5.0,13.0,0.0,1
1,46.69,46.69,5.0,9.0,0.0,1
1,89.25,89.25,5.0,6.0,0.0,1
1,49.6,49.6,5.0,8.0,0.0,1
1,187.96,187.96,4.0,16.0,0.0,1
1,777.68,777.68,3.0,14.0,0.0,1
1,63.9,63.9,4.0,5.0,0.0,1
1,272.04,272.04,5.0,5.0,0.0,0
1,236.81,236.81,5.0,12.0,0.0,1
1,204.83,204.83,5.0,5.0,0.0,1
1,31.13,31.13,5.0,32.0,1.0,1
1,154.53,154.53,5.0,16.0,0.0,1
1,149.87,149.87,5.0,17.0,0.0,1
1,71.38,71.38,5.0,14.0,0.0,1
1,269.2,269.2,5.0,12.0,0.0,1
1,65.33,65.33,4.0,8.0,0.0,0
1,23.72,23.72,1.0,4.0,0.0,1
1,119.32,119.32,4.0,10.0,0.0,1
1,31.22,31.22,4.0,5.0,0.0,0
1,94.35,94.35,4.0,7.0,0.0,1
1,190.28,190.28,5.0,13.0,0.0,0
1,79.51,79.51,5.0,7.0,0.0,0
1,66.64,66.64,2.0,34.0,1.0,1
1,300.6,300.6,1.0,52.0,1.0,1
1,108.46,108.46,5.0,10.0,0.0,1
1,34.0,34.0,5.0,20.0,0.0,1
1,77.22,77.22,5.0,3.0,0.0,0
1,99.32,99.32,5.0,9.0,0.0,1
